symbol,LFC,FDR,ID
Fkbp7,0.111931767,0.921295645,ENSMUSG00000002732
Plekha3,-0.058288154,0.992134102,ENSMUSG00000002733
Ykt6,0.009319457,0.928978824,ENSMUSG00000002741
Baz1b,-0.070699631,1,ENSMUSG00000002748
Pex6,-5.067434017,3.01E-12,ENSMUSG00000002763
Mrpl2,-0.080329059,0.816616614,ENSMUSG00000002767
Mea1,-0.158918875,0.758295129,ENSMUSG00000002768
Gnmt,-0.041566621,1,ENSMUSG00000002769
Grin2d,-0.273150368,0.781651631,ENSMUSG00000002771
Kdelr1,0.855763087,0.170106215,ENSMUSG00000002778
Tmem143,-0.089633283,0.982603788,ENSMUSG00000002781
Pdxk-ps,0.771779298,0.55220477,ENSMUSG00000002791
Ggct,-0.255825387,0.80196283,ENSMUSG00000002797
Jag2,-0.006075856,1,ENSMUSG00000002799
Btbd6,-3.309395741,1.89E-07,ENSMUSG00000002803
Nudt14,-1.566959482,0.005168187,ENSMUSG00000002804
Epdr1,-0.514657328,0.342701989,ENSMUSG00000002808
Flii,-0.035491613,0.91489102,ENSMUSG00000002812
Top3a,-0.736132925,0.30514487,ENSMUSG00000002814
Atg4d,-0.631062155,0.130969997,ENSMUSG00000002820
Qtrt1,-1.807945008,0.000138947,ENSMUSG00000002825
Plin4,-0.008070858,1,ENSMUSG00000002831
Hdgfl2,-0.907963544,0.134146289,ENSMUSG00000002833
Chaf1a,-0.080974812,0.742689301,ENSMUSG00000002835
Adprh,0.310045606,0.638670183,ENSMUSG00000002844
Tmem39a,-0.428552609,0.589219314,ENSMUSG00000002845
Timmdc1,0.879686296,0.03347346,ENSMUSG00000002846
Pla1a,0.073891526,1,ENSMUSG00000002847
Mcm2,0.218375033,0.809055006,ENSMUSG00000002870
Tpra1,-0.669006187,0.219478302,ENSMUSG00000002871
