symbol,LFC,FDR,ID
Stard3nl,-0.022786173,1,ENSMUSG00000003062
Stk11,-0.000988889,1,ENSMUSG00000003068
Efna2,0.00368541,1,ENSMUSG00000003070
Atp5d,0.010218858,1,ENSMUSG00000003072
Ppp5c,-0.002516618,1,ENSMUSG00000003099
Cdk12,0.028619629,1,ENSMUSG00000003119
Lipe,-0.000535047,1,ENSMUSG00000003123
Pafah1b2,0.010083079,1,ENSMUSG00000003131
Tbc1d8,-0.002814977,1,ENSMUSG00000003134
Cnot11,0.002557625,1,ENSMUSG00000003135
Slc2a3,0.009286613,1,ENSMUSG00000003153
Foxj2,0.009215783,1,ENSMUSG00000003154
Sri,-0.026647607,1,ENSMUSG00000003161
Dgcr2,0.006705345,1,ENSMUSG00000003166
Irf3,0.001465054,1,ENSMUSG00000003184
Bcl2l12,0.00383392,1,ENSMUSG00000003190
Zfp959,-0.006325143,1,ENSMUSG00000003198
Mpnd,0.012502227,1,ENSMUSG00000003199
Sh3gl1,0.003508164,1,ENSMUSG00000003200
Ebi3,0.002695503,1,ENSMUSG00000003206
Yju2,-0.004771034,1,ENSMUSG00000003208
