symbol,LCF,FDR,ID
Cse1l,0.164792283,1,ENSMUSG00000002718
Naa20,-0.011704858,1,ENSMUSG00000002728
Prkra,-0.062641801,1,ENSMUSG00000002731
Fkbp7,-0.187756371,1,ENSMUSG00000002732
Plekha3,-0.024985404,1,ENSMUSG00000002733
Ykt6,-0.007892056,1,ENSMUSG00000002741
Baz1b,-0.009664113,1,ENSMUSG00000002748
Pex6,0.005023953,1,ENSMUSG00000002763
Mrpl2,-0.018548459,1,ENSMUSG00000002767
Mea1,0.074191159,1,ENSMUSG00000002768
Gnmt,-0.163061113,0.031123349,ENSMUSG00000002769
Grin2d,0.263249317,0.4696811,ENSMUSG00000002771
Kdelr1,0.408405655,0.311570314,ENSMUSG00000002778
Tmem143,-0.179133573,0.560201062,ENSMUSG00000002781
Pdxk-ps,-0.00741043,0.904224274,ENSMUSG00000002791
Ggct,0.250215952,1,ENSMUSG00000002797
Jag2,-0.064007076,1,ENSMUSG00000002799
Btbd6,-0.294976408,0.633720864,ENSMUSG00000002803
Nudt14,-0.09226004,1,ENSMUSG00000002804
Epdr1,-0.078759568,1,ENSMUSG00000002808
Flii,-0.038768496,1,ENSMUSG00000002812
Top3a,-0.205090193,0.151654528,ENSMUSG00000002814
Atg4d,0.71665836,0.286063644,ENSMUSG00000002820
Qtrt1,-0.1560244,1,ENSMUSG00000002825
Plin4,0.137343132,0.618708998,ENSMUSG00000002831
Hdgfl2,0.157227736,1,ENSMUSG00000002833
Chaf1a,-0.04691474,1,ENSMUSG00000002835
Adprh,-0.020834736,1,ENSMUSG00000002844
Tmem39a,0.332711993,0.447043369,ENSMUSG00000002845
Timmdc1,0.056134674,1,ENSMUSG00000002846
Pla1a,-0.08674144,0.400583018,ENSMUSG00000002847
Mcm2,-1.358863915,0.047745135,ENSMUSG00000002870
Tpra1,-0.304483301,0.651381558,ENSMUSG00000002871
Nab1,-0.052417507,1,ENSMUSG00000002881
Adgre5,-0.166376566,0.617132666,ENSMUSG00000002885
Il17ra,0.144376439,0.604948633,ENSMUSG00000002897
Lamb1,-0.062493219,1,ENSMUSG00000002900
Kcnn1,-1.300737581,0.14434017,ENSMUSG00000002908
Arrdc2,0.027554288,1,ENSMUSG00000002910
Ppp1r17,0.012626739,1,ENSMUSG00000002930
Cd36,0.045776725,2.81E-05,ENSMUSG00000002944
Map2k7,-0.125613679,0.987836916,ENSMUSG00000002948
Timm44,-0.056344899,1,ENSMUSG00000002949
Ap2a2,0.052856856,1,ENSMUSG00000002957
Pnkp,-0.129390437,1,ENSMUSG00000002963
Med25,0.034916946,1,ENSMUSG00000002968
Bcam,-0.039058793,1,ENSMUSG00000002980
Clptm1,-0.084021519,1,ENSMUSG00000002981
Relb,-0.051303088,1,ENSMUSG00000002983
Tomm40,-0.130681896,1,ENSMUSG00000002984
Apoe,0.026404335,1,ENSMUSG00000002985
Hbp1,0.084097841,1,ENSMUSG00000002996
Prkar2b,-0.15071461,1,ENSMUSG00000002997
Cdkn1b,-0.3635572,0.67811581,ENSMUSG00000003031
Klf4,0.068328169,1,ENSMUSG00000003032
Ap1m1,-0.017646076,1,ENSMUSG00000003033
Rab8a,0.103286191,1,ENSMUSG00000003037
Hmgn2,0.268743256,1,ENSMUSG00000003038
Fam32a,-0.231997114,1,ENSMUSG00000003039
Elf3,0.032096582,1,ENSMUSG00000003051
Stard3nl,-0.054079832,1,ENSMUSG00000003062
Stk11,-0.013523713,1,ENSMUSG00000003068
